"corpus","preloaded/frtenten17_fl2"
"subcorpus",""
Item,Frequency
"être",127742200
"avoir",77036301
"pouvoir",23451230
"faire",22641673
"devoir",7690740
"voir",7089696
"prendre",7036318
"aller",7022419
"dire",6912023
"mettre",6117338
"permettre",5869790
"donner",5448613
"trouver",4798472
"savoir",4660480
"consulter",4458970
"suivre",4221307
"passer",4160629
"venir",4057620
"vouloir",4033614
"utiliser",3895720
"proposer",3532077
"faillir",3245286
"devenir",3123364
"connaître",3087857
"rester",2907555
"partir",2906279
"comprendre",2852719
"aider",2627958
"modifier",2608159
"présenter",2603180
"créer",2555289
"rendre",2526978
"penser",2456080
"parler",2386446
"lire",2363212
"demander",2338094
"réaliser",2312141
"agir",2245597
"laisser",2176356
"tenir",2160203
"porter",2094187
"vivre",2069915
"découvrir",2030571
"partager",1974712
"situer",1966222
"offrir",1956197
"arriver",1953276
"retrouver",1882820
"aimer",1871115
"jouer",1866414
"sembler",1852796
"commencer",1828137
"appeler",1795542
"visiter",1751416
"comporter",1749356
"sortir",1738455
"attendre",1708919
"écrire",1678209
"saisir",1676137
"recevoir",1659061
"exister",1648683
"améliorer",1627075
"obtenir",1607776
"choisir",1582552
"ajouter",1580882
"travailler",1572691
"enrichir",1554288
"ouvrir",1542318
"assurer",1531728
"montrer",1529387
"souhaiter",1520216
"croire",1519915
"publier",1519129
"accomplir",1518299
"naître",1491637
"suggérer",1477094
"répondre",1470321
"développer",1442338
"organiser",1429661
"produire",1407974
"représenter",1399365
"servir",1397550
"poser",1391269
"constituer",1359353
"sauvegarder",1356130
"concerner",1351427
"compter",1346907
"prévoir",1318026
"expliquer",1304239
"revenir",1293097
"perdre",1281702
"entendre",1276531
"considérer",1264750
"effectuer",1247913
"chercher",1237170
"changer",1186648
"décider",1183647
"apporter",1178821
"lancer",1175070
"participer",1168926
"continuer",1161790
"charger",1140199
"falloir",1133936
"indiquer",1123956
"disposer",1113689
"annoncer",1109872
"lier",1108821
"construire",1096723
"installer",1092209
"atteindre",1091862
"reprendre",1090286
"arrêter",1060753
"accompagner",1055830
"mener",1047974
"adapter",1046731
"former",1045775
"priver",1045501
"composer",1039891
"rencontrer",1025042
"reconnaître",1020360
"rappeler",1011788
"apprendre",1011467
"élever",1008442
"contenir",977863
"envoyer",975422
"apparaître",971885
"mourir",971718
"étayer",959926
"finir",957358
"éviter",953350
"essayer",950675
"entrer",943634
"réduire",939007
"engager",913030
"intégrer",909685
"acheter",905080
"regarder",904577
"détailler",897572
"fournir",896709
"profiter",884014
"gagner",882687
"définir",877185
"établir",876622
"placer",872321
"inscrire",871955
"associer",871839
"oublier",866729
"nommer",864566
"posséder",863536
"soutenir",838876
"occuper",831316
"appliquer",830566
"bénéficier",827065
"monter",819896
"sentir",815206
"toucher",814218
"issir",810918
"vendre",808982
"viser",800393
"payer",800340
"tomber",798259
"paraître",797681
"accueillir",794330
"limiter",792824
"traiter",791160
"tourner",789189
"imposer",789076
"conduire",787613
"préparer",785685
"déclarer",783276
"protéger",782930
"garder",779956
"accepter",775084
"réussir",770930
"sommer",768577
"tenter",765361
"remettre",755487
"augmenter",742063
"rejoindre",736395
"inviter",734769
"tirer",733724
"conserver",729158
"fonder",727172
"manquer",726527
"consacrer",721942
"terminer",718260
"poursuivre",715128
"remplacer",700393
"noter",699158
"suffire",697368
"quitter",697221
"marquer",693866
"correspondre",688633
"préciser",679468
"relever",672035
"exprimer",670474
"estimer",670200
"gérer",667450
"intéresser",666480
"concevoir",666386
"fixer",665641
"identifier",665288
"espérer",658418
"marier",653534
"signer",653468
"préférer",652780
"importer",648943
"destiner",642673
"fonctionner",642613
"valoir",634702
"diriger",626218
"étudier",618879
"avancer",618631
"respecter",612574
"adopter",609907
"discuter",608151
"refuser",604813
"confirmer",600650
"spécialiser",593963
"constater",592592
"révéler",591584
"affirmer",586952
"évoquer",585610
"réunir",582271
"décrire",580527
"adresser",579583
"empêcher",578743
"désigner",577395
"couvrir",572165
"observer",569297
"tuer",568277
"garantir",566253
"citer",566071
"ouvrer",565194
"intervenir",564595
"transformer",558805
"conseiller",558382
"enregistrer",554969
"contribuer",553831
"évoluer",553362
"inclure",551583
"appuyer",551414
"déterminer",551375
"apprécier",548241
"soumettre",546016
"réserver",545113
"appartenir",544485
"est-à-dire",543522
"acquérir",542451
"convenir",541474
"renforcer",540107
"manger",537255
"parvenir",536171
"afficher",530334
"baser",530175
"fermer",528944
"cacher",524675
"imaginer",524496
"pousser",524447
"varier",522518
"maintenir",521751
"opposer",519345
"rechercher",519029
"accorder",515281
"livrer",514816
"dérouler",513219
"remporter",512888
"remplir",512032
"vérifier",509192
"retenir",509067
"équiper",508595
"cliquer",508265
"souligner",506533
"déposer",503475
"pratiquer",502895
"supprimer",500360
"dédier",498402
"marcher",498039
"favoriser",497959
"exercer",497165
"disparaître",497118
"juger",493299
"cesser",492201
"tandis",491877
"battre",489299
"inspirer",489140
"signifier",488742
"entraîner",487886
"raconter",486167
"diffuser",485039
"impliquer",484815
"exposer",483399
"défendre",482768
"compléter",481676
"hésiter",480393
"dépasser",480357
"intituler",479732
"interdire",479109
"traduire",476456
"consister",471846
"retirer",466437
"élire",464665
"autoriser",464559
"étendre",463527
"provoquer",461920
"amener",459717
"aborder",455900
"rentrer",455197
"contacter",452041
"animer",451078
"quant",446629
"couper",445294
"classer",444901
"écouter",444279
"obliger",443717
"séparer",443657
"retourner",443464
"tester",439952
"recommander",437796
"qualifier",437106
"subir",435245
"sélectionner",434576
"traverser",433038
"reposer",431348
"employer",429823
"dater",427656
"mentionner",421267
"assister",420841
"faciliter",419148
"dépendre",415223
"contrôler",411968
"informer",411031
"remarquer",409536
"transmettre",407367
"confier",401098
"détruire",398676
"unir",397456
"accéder",396082
"envisager",395444
"nécessiter",395026
"risquer",394011
"commander",393623
"attaquer",391229
"voter",391085
"justifier",390758
"abandonner",390431
"distinguer",389876
"connecter",389872
"regrouper",389470
"ca",388082
"fabriquer",386818
"verser",384599
"déplacer",384514
"adorer",383907
"rapporter",383782
"comparer",383350
"attirer",382699
"remonter",381410
"jeter",378624
"demeurer",377732
"doter",371755
"lever",371072
"provenir",366949
"conclure",363903
"attribuer",362162
"récupérer",361640
"dessiner",361383
"évaluer",360469
"débuter",360167
"communiquer",359403
"interroger",359177
"figurer",357561
"télécharger",354493
"etc.",353388
"souffrir",353366
"mesurer",351834
"satisfaire",351776
"condamner",348300
"introduire",344354
"supposer",343991
"sauver",343981
"investir",343380
"analyser",341963
"prononcer",341366
"tendre",341133
"user",338978
"relier",338823
"attacher",338428
"entourer",337039
"illustrer",336397
"indexer",335975
"corriger",335661
"enlever",334267
"démontrer",331483
"privilégier",331008
"rassembler",328907
"habiter",325436
"rédiger",325147
"entreprendre",324679
"financer",324676
"convaincre",321809
"échapper",321135
"signaler",320595
"procéder",320518
"prouver",319520
"courir",315863
"revoir",315755
"affecter",314674
"exiger",311695
"enseigner",310413
"plaire",307863
"ressembler",307612
"diminuer",307576
"résoudre",307489
"percevoir",305158
"ressentir",303145
"libérer",302196
"chanter",302097
"régler",299331
"admettre",295035
"personnaliser",291064
"manifester",290653
"qu",289324
"rouler",288955
"boire",288908
"frapper",288619
"surprendre",288017
"prétendre",286961
"caractériser",286220
"souvenir",286199
"orienter",284599
"supporter",284204
"descendre",283978
"dénoncer",283747
"réfléchir",282174
"ignorer",282070
"témoigner",281615
"voler",281517
"asseoir",281468
"promouvoir",281034
"nourrir",280604
"générer",280511
"entretenir",280084
"mériter",279910
"renvoyer",279368
"élaborer",278280
"encourager",277959
"durer",277891
"consommer",276570
"remercier",276311
"concentrer",274631
"désirer",274560
"exploiter",274079
"parcourir",271535
"restaurer",271011
"promettre",268688
"dévoiler",268148
"préserver",264744
"croiser",263630
"avérer",263254
"d",263199
"rêver",261946
"imprimer",261855
"causer",261035
"émettre",259961
"forcer",259907
"rejeter",259875
"poster",259203
"prévenir",258998
"répéter",258222
"joindre",257523
"avouer",255820
"éloigner",255472
"interpréter",255420
"résulter",253143
"valider",250824
"répartir",250568
"guider",249811
"dominer",249621
"extraire",248963
"emporter",248863
"échanger",246906
"lutter",246188
"accuser",245327
"rapprocher",245092
"commettre",244984
"isoler",243682
"exécuter",243550
"oser",243360
"diviser",243350
"opérer",241851
"maîtriser",241800
"coter",241173
"aboutir",241049
"allier",240606
"explorer",240093
"résister",238644
"bloquer",238557
"prêter",238338
"éliminer",238271
"mobiliser",238228
"requérir",235555
"menacer",235255
"confronter",232302
"détenir",232251
"délivrer",232097
"sacrer",231145
"achever",230627
"apercevoir",230318
"douter",229284
"examiner",229008
"calculer",227561
"accroître",227322
"distribuer",227187
"craindre",226528
"susciter",226228
"plonger",226200
"rire",225090
"multiplier",225053
"recueillir",224197
"compliquer",223785
"louer",222436
"approcher",221369
"dégager",221244
"affronter",219772
"approprier",217794
"prolonger",217253
"soigner",216962
"dormir",216254
"mélanger",215979
"exclure",215134
"casser",214809
"précéder",214774
"éditer",214684
"ramener",214214
"confondre",214029
"sécuriser",213980
"éclairer",213856
"baisser",213610
"inventer",212529
"optimiser",212375
"combattre",211970
"coûter",211228
"blesser",210706
"veiller",210384
"coller",210010
"cuire",209931
"amuser",209668
"armer",208579
"transporter",207481
"renouveler",206900
"dresser",206643
"peser",206637
"réclamer",206599
"réagir",206356
"alimenter",205655
"transférer",205394
"activer",204769
"progresser",204474
"décéder",204103
"tromper",204038
"peindre",203816
"insister",203361
"déployer",201984
"démarrer",201855
"parer",201046
"renaître",200919
"refaire",200885
"emprunter",197652
"contraindre",196879
"célébrer",194911
"glisser",194196
"répertorier",193485
"combiner",193341
"succéder",192460
"reproduire",190696
"recruter",190588
"contenter",190240
"abriter",189952
"résumer",189385
"ordonner",188754
"s",187645
"cultiver",187291
"répandre",186545
"assumer",186083
"rajouter",185815
"céder",184996
"regretter",184360
"aménager",183704
"opter",183395
"emmener",183089
"coucher",182597
"bâtir",182474
"procurer",182110
"grandir",181154
"résider",180699
"initier",180489
"passionner",179763
"séduire",179589
"mêler",179261
"étonner",178632
"presser",178392
"solliciter",178350
"boiter",177996
"incarner",177686
"nettoyer",177563
"muser",176637
"rattacher",175914
"insérer",175579
"rassurer",175089
"disputer",174572
"bouger",173902
"inciter",173468
"annuler",172098
"planter",171791
"soulever",171365
"prier",171262
"repartir",171087
"taper",170987
"députer",170692
"inquiéter",170547
"commenter",170154
"accélérer",170076
"fuir",169841
"surveiller",169649
"élargir",169579
"survenir",168955
"simplifier",168717
"motiver",168514
"renseigner",167001
"franchir",166769
"doubler",166206
"suspendre",166205
"expérimenter",165071
"voyager",164981
"encadrer",164936
"cibler",164436
"colorer",164095
"chauffer",164020
"approuver",163547
"programmer",163535
"approfondir",163453
"repérer",162905
"cest",162675
"implanter",162492
"briser",161544
"voiler",161534
"laver",161164
"carrer",161089
"couler",160588
"sauter",159825
"survivre",159630
"ravir",159220
"écarter",159148
"engendrer",157108
"dorer",156897
"formuler",156820
"brûler",156596
"renoncer",155525
"critiquer",155354
"décevoir",155213
"valoriser",155196
"serrer",154972
"saluer",154633
"réveiller",153948
"clore",153709
"détecter",153621
"déclencher",153463
"embarquer",153306
"décorer",153152
"coordonner",153065
"ranger",152121
"anticiper",151871
"circuler",151696
"pénétrer",151481
"contester",150758
"négocier",150601
"éprouver",150506
"désoler",149474
"handicaper",148699
"décliner",148204
"détacher",147355
"foutre",147200
"entamer",146640
"fréquenter",146253
"réputer",146043
"stocker",145604
"récompenser",144553
"accrocher",143850
"jouir",143783
"structurer",142894
"influencer",142044
"effacer",141793
"rembourser",141655
"pleurer",140961
"positionner",140807
"convertir",140743
"inaugurer",139450
"plaindre",138964
"pencher",138213
"éteindre",137967
"pourvoir",137942
"présider",137667
"crier",137484
"typer",137281
"projeter",137161
"régner",137142
"revendiquer",136740
"équilibrer",136116
"admirer",136068
"recouvrir",135668
"repousser",135270
"déléguer",135172
"filmer",134916
"fr",133621
"ressortir",133191
"téléviser",132799
"collecter",131612
"danser",131396
"piloter",131232
"creuser",131188
"reprocher",131102
"éclater",130928
"régir",130711
"t",130126
"desservir",129698
"fêter",129113
"refléter",128907
"commercialiser",127645
"collaborer",127514
"salarier",127445
"invoquer",127013
"réparer",126802
"attester",126531
"allumer",126107
"jurer",125905
"rater",125411
"habiller",124843
"racheter",124570
"chasser",124561
"dériver",124389
"instaurer",123877
"rétablir",123727
"fondre",123585
"épouser",123537
"certifier",123518
"rompre",123232
"restreindre",123067
"induire",122748
"rénover",122230
"baptiser",122053
"écraser",121088
"tracer",120950
"abattre",120613
"échouer",120456
"emparer",119098
"lâcher",118625
"saler",118331
"conférer",118149
"pointer",117717
"nier",117605
"diplômer",117302
"localiser",117153
"adjoindre",116682
"copier",116421
"envahir",116265
"détourner",116150
"recenser",116043
"fumer",115916
"adhérer",115905
"compenser",115549
"centrer",115095
"surmonter",114876
"conquérir",114769
"allonger",114666
"découper",114169
"vaincre",114131
"connait",114076
"débattre",114062
"capturer",113993
"exploser",113712
"embrasser",113602
"référer",113517
"munir",113327
"absorber",113262
"enfermer",113248
"combler",112957
"relancer",112403
"habituer",112295
"différer",111881
"avertir",111819
"reculer",111318
"souscrire",111041
"foncer",110766
"sonner",110340
"arracher",110016
"débarquer",109563
"lister",109196
"déguster",109074
"émerger",108881
"recouvrer",108763
"récolter",108741
"généraliser",108440
"lover",108118
"honorer",108021
"orner",107989
"reconstruire",107477
"graver",107453
"diversifier",107283
"dispenser",106279
"manipuler",106038
"dépenser",106031
"croître",105705
"stimuler",105542
"interrompre",105388
"fleurir",104806
"enchaîner",104418
"brancher",104313
"débarrasser",104037
"accumuler",103811
"assimiler",103778
"appréhender",103611
"renommer",103387
"masquer",103375
"enfoncer",103355
"filer",103337
"assassiner",102845
"prescrire",102679
"fusionner",102552
"décrocher",102372
"différencier",102066
"découler",101988
"réjouir",101660
"héberger",101575
"enterrer",100424
"articuler",100399
"féliciter",100199
"préconiser",100112
"gêner",99795
"border",99624
"tailler",99427
"écouler",99241
"fatiguer",98917
"reporter",98668
"agréer",97800
"défaire",97526
"tarder",97032
"redonner",96946
"inverser",96800
"proclamer",96350
"respirer",96319
"nest",96111
"percer",95720
"sucer",95715
"déduire",95483
"ériger",95461
"sécher",94987
"agrandir",94976
"perturber",94655
"ajuster",94513
"sourire",94456
"persuader",94338
"goûter",94116
"grouper",94102
"sensibiliser",94100
"vider",93990
"modérer",93818
"négliger",93238
"surnommer",93124
"loger",93059
"axer",93013
"peupler",92776
"renverser",92641
"dégrader",92565
"visualiser",92442
"sucrer",91675
"guérir",91569
"accentuer",91436
"soulager",91302
"revêtir",91237
"trancher",91211
"incorporer",90918
"réfugier",90547
"référencer",90532
"instituer",90037
"aligner",89795
"caler",89384
"recourir",89123
"recommencer",89086
"subsister",89046
"énoncer",88777
"incliner",88370
"relire",87697
"interpeller",87414
"hériter",87311
"détendre",87212
"convoquer",87080
"préoccuper",86927
"souffler",86547
"douer",86432
"retracer",86392
"efforcer",86154
"y''a",86095
"mentir",86074
"arranger",86022
"cumuler",85987
"étaler",85880
"exciter",85780
"violer",85676
"déranger",85405
"épuiser",85261
"gouverner",84959
"substituer",84831
"primer",84619
"évacuer",84454
"deviner",84438
"briller",84161
"excuser",84120
"etre",84048
"administrer",84048
"fiche",83181
"épargner",83011
"ralentir",82933
"semer",82590
"plier",82255
"déboucher",82236
"endommager",82197
"décerner",81827
"enceindre",81765
"agiter",81720
"trés",81497
"endormir",81398
"promener",81258
"choquer",80998
"naviguer",80905
"nuire",80671
"obéir",80598
"etait",80294
"restituer",79791
"capter",79753
"recycler",79456
"dissoudre",79260
"relayer",79095
"heurter",78882
"consentir",78695
"sacrifier",78447
"dissimuler",78361
"rattraper",78037
"cuisiner",77984
"aggraver",77748
"bouleverser",77502
"piquer",77492
"aspirer",77438
"dénommer",77385
"relater",77242
"arborer",77002
"assembler",76993
"taire",76837
"grimper",76768
"assortir",76707
"punir",76699
"pardonner",76560
"consolider",76553
"impressionner",76552
"conditionner",76481
"prélever",76113
"conformer",75955
"réviser",75668
"exporter",75193
"soupçonner",75164
"apparenter",74992
"illimiter",74605
"attraper",74461
"siéger",74379
"songer",74371
"sanctionner",74303
"craquer",74126
"rémunérer",74078
"apprêter",73927
"précipiter",73906
"déplorer",73749
"désactiver",73637
"détester",73336
"disperser",73188
"forger",73106
"ya",73039
"configurer",72980
"défiler",72819
"puiser",72519
"réformer",72348
"affaiblir",72335
"assigner",72229
"reconstituer",71757
"symboliser",71743
"miser",71719
"économiser",71594
"infliger",71566
"apaiser",71317
"surgir",71296
"ancrer",71263
